Category,File Name,Accession #,Title,Creator,Description,Keywords,Title,PrimaryArtistName,galleryLink,gallery,InTheMuseumList Name,InTheMuseumList Url,ClassificationList,whatList,CRDID,checkAccNo,scrapiurl,meturl,flickrid,flickrpageurl,flickrimageurl,username,nsid,pathalias
SET 01,14940690236.jpg,80.3.674,-,Trish Mayo,"cmp3.10.3.1Lq4 0x18da0983 Sunny Afternoon With St Christopher  A beautiful light and shadow pattern at the Met Museum.  Information about the large Fresco on the left Saint Christopher and the Infant Christ Domenico Ghirlandaio (Domenico Bigordi) (Italian, Florence 1448/49â€“1494 Florence) Medium: Fresco Dimensions: 112 x 59 in. (284.5 x 149.9 cm) Classification: Paintings Credit Line: Gift of Cornelius Vanderbilt, 1880 Accession Number: 80.3.674","Artwork,painting,Inhabited,2D,AccessionInDesc,Description,single,Artwork_number,across_the_room,Framing,full",Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),/visit/museum-map/galleries/robert-lehman/961,961,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Frescoes",436492,80.3.674,http://scrapi.org/object/436492,http://www.metmuseum.org/collection/the-collection-online/search/436492,14940690236,https://www.flickr.com/photos/obsessivephotography/14940690236/,http://c2.staticflickr.com/4/3900/14940690236_2befb7e1bd_b.jpg,Trish Mayo,97402095@N00,obsessivephotography
SET 08,6786139426.jpg,14.2.4a-d,"Wooden Writing Tablets in the Metropolitan Museum of Art, January 2011",ElissaSCA,"Wooden Writing Tablets;;Date: 500700 ;;Geography: Made in, Byzantine Egypt ;;Culture: Coptic ;;Medium: Wood and wax ;;Dimensions: ;Overall (with mount): 10 1/2 x 11 7/8 x 5 1/2 in. (26.7 x 30.2 x 14 cm) ;Overall (together): 9 5/16 x 5 7/8 x 2 1/4 in. (23.7 x 14.9 x 5.7 cm) ;Overall (each leaf): 9 5/16 x 5 7/8 x 7/16 in. (23.7 x 14.9 x 1.1 cm) ;;Classification: Woodwork-Miscellany ;;Credit Line: Rogers Fund, 1914 ;;Accession Number: 14.2.4a-d;;Description:;;The recessed areas of these tablets were filled with wax and employed for writing and record keeping. A stylus, or pointed wooden pen, would have been used to write in the wax. Joined pairs of tablets such as these were made in many materials, including ivory.;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/170014196 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/1700...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: byzantine,ElissaSCA: fujifinepixs6000fd,ElissaSCA: egypt,ElissaSCA: egyptian,ElissaSCA: wood,Artwork,3D,AccessionInDesc,Description,DescriptionInDesc",Wooden Writing Tablets, ,/visit/museum-map/galleries/medieval/302,302,Medieval Art,/collection/the-collection-online/search?ft=*&amp;deptids=17,Woodwork-Miscellany,"Woodwork,Wax,Tablets,Writing tablet",473393,14.2.4a-d,http://scrapi.org/object/473393,http://www.metmuseum.org/collection/the-collection-online/search/473393,6786139426,https://www.flickr.com/photos/elissacorsini/6786139426/,http://c2.staticflickr.com/8/7050/6786139426_6a93ed05ee_b.jpg,ElissaSCA,23655879@N00,elissacorsini
SET 16,3984214135.jpg,54.144,"Gold Reclining Doe in the Metropolitan Museum of Art, August 2008",ElissaSCA,"Reclining Doe;Gold;Mesopotamia;Early Dynastic IIIa, 2600-2500 BC;;Accession # 54.144;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2008,ElissaSCA: neareast,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: gold,ElissaSCA: sculpture,ElissaSCA: statuette,ElissaSCA: figurine,ElissaSCA: fujifinepixs6000fd,ElissaSCA: mesopotamia,ElissaSCA: sumerian,3D,Artwork,Description,AccessionInDesc",Reclining doe, ,/visit/museum-map/galleries/ancient-near-east/403,403,Ancient Near Eastern Art,/collection/the-collection-online/search?ft=*&amp;deptids=3,Metalwork-Sculpture,"Metal,Sculpture,Metalwork,Gold",324409,54.144,http://scrapi.org/object/324409,http://www.metmuseum.org/collection/the-collection-online/search/324409,3984214135,https://www.flickr.com/photos/elissacorsini/3984214135/,http://c2.staticflickr.com/4/3430/3984214135_2b62065178_b.jpg,ElissaSCA,23655879@N00,elissacorsini
