Category,File Name,Title,Creator,Description,Keywords,Artwork_Type,SpacesSet,flickrid,flickrpageurl,flickrimageurl,flickrimageurl_text,username,nsid,pathalias
SET 27,4750450481.jpg,Hall of Flags,Sabra Smith,"Having selected his suit of armor, Paul ponders a choice of griffin or dragon flag...;;[this photo taken by his brother, after a confab where they determined they really needed a picture of all the flags for reference at home]","Sabra Smith: metropolitanmuseum,Sabra Smith: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,3D,Artwork,Inhabited,Space,Arms_Armor,Art2or3,arms_armor",Arms_Armor,DeptSpaces,4750450481,https://www.flickr.com/photos/sabrasmith/4750450481/,http://c2.staticflickr.com/5/4082/4750450481_4bf6b564c4.jpg,http://c2.staticflickr.com/5/4082/4750450481_4bf6b564c4.jpg,Sabra Smith,14255877@N05,sabrasmith
SET 27,4750619700.jpg,the american wing,julia.m,"metropolitan museum of art, nyc","NA,Description,3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces,4750619700,https://www.flickr.com/photos/33247936@N00/4750619700/,http://c2.staticflickr.com/5/4142/4750619700_72797d04f2.jpg,http://c2.staticflickr.com/5/4142/4750619700_72797d04f2.jpg,julia.m,33247936@N00,
SET 27,4755422532.jpg,The New American Wing,IslesPunkFan,<a href=http://www.metmuseum.org/works_of_art/american_decorative_arts/american_wing_2009 rel=nofollow>www.metmuseum.org/works_of_art/american_decorative_arts/a...</a>;;Photo taken on a trip to the Metropolitan Museum of Art on 3/5/10.,"IslesPunkFan: met,IslesPunkFan: metropolitanmuseum,IslesPunkFan: metropolitanmuseumofart,IslesPunkFan: newyork,IslesPunkFan: ny,IslesPunkFan: museum,IslesPunkFan: art,IslesPunkFan: history,IslesPunkFan: nyc,IslesPunkFan: manhattan,IslesPunkFan: american,IslesPunkFan: wing,Description,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4755422532,https://www.flickr.com/photos/islespunkfan/4755422532/,http://c2.staticflickr.com/5/4073/4755422532_fbe95b799f.jpg,http://c2.staticflickr.com/5/4073/4755422532_fbe95b799f.jpg,IslesPunkFan,28110584@N04,islespunkfan
SET 27,4756110852.jpg,"Metropolitan Museum of Art, in the sculpture atrium",Foto Fool,NA,"Foto Fool: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4756110852,https://www.flickr.com/photos/fotofool/4756110852/,http://c2.staticflickr.com/5/4140/4756110852_7e0424f003.jpg,http://c2.staticflickr.com/5/4140/4756110852_7e0424f003.jpg,Foto Fool,15599264@N00,fotofool
SET 27,4758872092.jpg,Meeting Statues at the Met,@NYCphotos-flickr,European sculpture court inside the Metropolitan Museum of Art.,"@NYCphotos-flickr: timewemet2010,@NYCphotos-flickr: europeansculpturecourt,@NYCphotos-flickr: met,@NYCphotos-flickr: metropolitanmuseumofart,The Metropolitan Museum of Art: mma:itwm2010=accepted,Description,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4758872092,https://www.flickr.com/photos/katie_cat/4758872092/,http://c2.staticflickr.com/5/4082/4758872092_ce253705f6.jpg,http://c2.staticflickr.com/5/4082/4758872092_ce253705f6.jpg,@NYCphotos-flickr,8813477@N04,katie_cat
SET 27,4759654419.jpg,Lamps,KaDeWeGirl,NA,"KaDeWeGirl: newyorkcity,KaDeWeGirl: manhattan,KaDeWeGirl: metropolitanmuseumofart,KaDeWeGirl: newamerica,KaDeWeGirl: glass,3D,Artwork,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4759654419,https://www.flickr.com/photos/kadewegirl/4759654419/,http://c2.staticflickr.com/5/4141/4759654419_c0117a25ab.jpg,http://c2.staticflickr.com/5/4141/4759654419_c0117a25ab.jpg,KaDeWeGirl,46005017@N00,kadewegirl
SET 27,4762160349.jpg,Thanks for listening...,Wan-Tin Ong,Thanks for listening... at The Met,"Wan-Tin Ong: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Wan-Tin Ong: metropolitan,Wan-Tin Ong: museum,Wan-Tin Ong: art,Wan-Tin Ong: met,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4762160349,https://www.flickr.com/photos/ongwantin/4762160349/,http://c2.staticflickr.com/5/4123/4762160349_3abc367085.jpg,http://c2.staticflickr.com/5/4123/4762160349_3abc367085.jpg,Wan-Tin Ong,51737376@N02,ongwantin
SET 27,4762238089.jpg,The Metropolitan Museum of Art,Alex E. Pajares,NA,"Alex E. Pajares: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4762238089,https://www.flickr.com/photos/51386079@N08/4762238089/,http://c2.staticflickr.com/5/4093/4762238089_7bffd2dbb0.jpg,http://c2.staticflickr.com/5/4093/4762238089_7bffd2dbb0.jpg,Alex E. Pajares,51386079@N08,
SET 27,4762622870.jpg,IMG_1096,Randy Simon,NA,"Randy Simon: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,3D,Artwork,Inhabited,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4762622870,https://www.flickr.com/photos/51721714@N05/4762622870/,http://c2.staticflickr.com/5/4142/4762622870_21ea02b482.jpg,http://c2.staticflickr.com/5/4142/4762622870_21ea02b482.jpg,Randy Simon,51721714@N05,
SET 27,4762762294.jpg,Mother and baby,Wan-Tin Ong,The Met,"Wan-Tin Ong: timewemet2010,The Metropolitan Museum of Art: mma:itwm2010=accepted,Wan-Tin Ong: metropolitan,Wan-Tin Ong: museum,Wan-Tin Ong: art,Wan-Tin Ong: met,3D,Artwork,Space,Art2or3,sculpture",Sculpture,DeptSpaces,4762762294,https://www.flickr.com/photos/ongwantin/4762762294/,http://c2.staticflickr.com/5/4135/4762762294_9e4bc54219.jpg,http://c2.staticflickr.com/5/4135/4762762294_9e4bc54219.jpg,Wan-Tin Ong,51737376@N02,ongwantin
