"Category","File Name","Job Identifier","Title","Creator","Description","Keywords","Artwork_Type"
"SET 40","2782700.jpg","-","24122004","mmatins","NA","mmatins: newyorkcity,mmatins: art,mmatins: statue,mmatins: metropolitanmuseumofart,mmatins: timewemet,mmatins: metropolitanmuseum,3D,Art2or3,2D,Artwork,painting_and_sculpture","Sculpture"
"SET 40","3255224539.jpg","-","Degas to Picasso","Joe Josephs: 1,355,720 views - thank you",";<a href=http://www.joejosephs.com rel=nofollow>www.joejosephs.com</a>;<a href=http://www.smugmug.com/gallery/4239386_rEDFi#1296148017_2JCB9cD rel=nofollow>www.smugmug.com/gallery/4239386_rEDFi#1296148017_2JCB9cD</a>;<a href=http://www.smugmug.com/gallery/7054281_YyLDy#1290436801_9F4JCxj rel=nofollow>www.smugmug.com/gallery/7054281_YyLDy#1290436801_9F4JCxj</a>","'Joe Josephs: 1,355,720 views - thank you: joe,Joe Josephs: 1,355,720 views - thank you: josephs,Joe Josephs: 1,355,720 views - thank you: photography,Joe Josephs: 1,355,720 views - thank you: nikond700,Joe Josephs: 1,355,720 views - thank you: joejosephs,Joe Josephs: 1,355,720 views - thank you: degas,Joe Josephs: 1,355,720 views - thank you: picasso,Joe Josephs: 1,355,720 views - thank you: art,Joe Josephs: 1,355,720 views - thank you: metmuseum,Joe Josephs: 1,355,720 views - thank you: joejosephsphotography,Joe Josephs: 1,355,720 views - thank you: nikoncamera,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephs,Joe Josephs: 1,355,720 views - thank you: allrightsreserved,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephsphotography,',Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephspho,3D,Art2or3,2D,Artwork,painting_and_sculpture","Sculpture"
"SET 40","3258241021.jpg","-","IMG_0067","Keoniinthecity","NA","Keoniinthecity: timewemet,3D,Art2or3,2D,Inhabited,Artwork,painting_and_sculpture","Sculpture"
"SET 40","3153059382.jpg","-","forever","ynatis","NA","NA,2D,Art2or3,photography,Artwork","Photography"
"SET 40","3171338967.jpg","-","20081227_met68","rubicat","NA","rubicat: art,rubicat: newyork,rubicat: travel,rubicat: met,rubicat: metropolitanmuseum,2D,Art2or3,drawing,Artwork","Drawing"
"SET 40","3172169356.jpg","-","20081227_met67","rubicat","NA","rubicat: art,rubicat: newyork,rubicat: travel,rubicat: met,rubicat: metropolitanmuseum,2D,Art2or3,drawing,Artwork","Drawing"
"SET 40","3210329617.jpg","-","Shepherd and Shepherdess Making Music","Maulleigh","Tapestry;Wool and Silk;South Netherlandish;Made about 1500-1530;;<i>If I didn't know any better, I'd swear that was French.</i>","Maulleigh: tapestry,Maulleigh: netherlandish,Maulleigh: metropolitanmuseum,Maulleigh: metropolitan,Maulleigh: museum,Maulleigh: art,Maulleigh: met,Art2or3,tapestry,Artwork,3D","Tapestry"
"SET 40","3248289183.jpg","-","Early-American Diorama","Maulleigh","I would have never not played with this if I'd had it. I love it!","Maulleigh: diorama,Maulleigh: kitchen,Maulleigh: american,Maulleigh: metropolitanmuseum,Maulleigh: metropolitan,Maulleigh: museum,Maulleigh: art,Maulleigh: met,Art2or3,Observation,3D,decorative_object,Artwork","Decorative_Object"
"SET 40","2981850699.jpg","-","METsketch2","DnZg","sketched Greek statue from the Met. got kicked out before finishing (closing time). decided to finish it with Photoshop.;;done on 10/18/08 with lead pencil","DnZg: met,DnZg: greekstatue,DnZg: drawing,DnZg: sketch,2D,Art2or3,drawing,Artwork","Drawing"
"SET 40","47775622.jpg","-","Life imitates art","Brinas mom","At the Metropolitan Museum of Art, NYC.","Brinas mom: kiss,Brinas mom: love,Brinas mom: art,Brinas mom: museum,Brinas mom: newyork,Brinas mom: metropolitan,Description,3D,Art2or3,2D,Inhabited,Artwork,painting_and_sculpture","Sculpture"
"SET 40","2275983376.jpg","-","METsketch 2/10","DnZg","First sketch of the year! Greek statue &quot;Andromeda &amp; The Sea Monster&quot; @ The Met. Done with pencil, ink, charcoal, pastels, &amp; metallic gold pen (for highlights).","DnZg: themet,DnZg: greekstatue,DnZg: sketch,DnZg: drawing,DnZg: charcoal,DnZg: inkandpencil,2D,Art2or3,drawing,Artwork","Drawing"
"SET 40","3002093130.jpg","-","SDC14675","madcowalien","VLUU L100, M100 / Samsung L100, M100","madcowalien: nyc,madcowalien: themetnyc,madcowalien: themet,madcowalien: museum,madcowalien: newyorkcity,2D,Art2or3,drawing,Artwork","Drawing"
"SET 40","3171337713.jpg","-","20081227_met51","rubicat","NA","rubicat: art,rubicat: newyork,rubicat: travel,rubicat: met,rubicat: metropolitanmuseum,2D,Art2or3,drawing,Artwork","Drawing"
"SET 40","3244899071.jpg","-","Portrait of Marilyn","Trish Mayo","Title:Marilyn Monroe, Actress, New York City;Date: May 6, 1957;Photographer: Richard Avedon (American, 1923-2004);;From the exhibit: The Philippe de Montebello Years: Curators Celebrate Three Decades of Acquisitions;;;;","Trish Mayo: metropolitanmuseum,Trish Mayo: metropolitanmuseumofart,Trish Mayo: newyork,Trish Mayo: manhattan,Trish Mayo: marilynmonroe,Trish Mayo: richardavedon,Trish Mayo: photography,Trish Mayo: reflection,Trish Mayo: photograph,Trish Mayo: actress,Trish Mayo: celebrity,2D,Art2or3,photography,Artwork","Photography"
"SET 40","147886130.jpg","-","Chuck Close","t_a_i_s","<a href=http://www.metmuseum.org>www.metmuseum.org</a>;","t_a_i_s: nyc,t_a_i_s: metmuseum,t_a_i_s: metropolitanmuseum,t_a_i_s: museumwatchers,2D,Art2or3,painting,Artwork","Painting"
"SET 40","2191534998.jpg","-","Man sitting and looking at Wes's favorite painting","steorra","...and looking at Wes's favorite painting.","steorra: metropolitanmuseumofart,steorra: man,steorra: sitting,steorra: bench,steorra: painting,steorra: nyc,steorra: art,steorra: museum,steorra: themet,2D,Art2or3,painting,Artwork","Painting"
"SET 40","2428487770.jpg","-","NA","meadows","pretty much the only people in new york that didn't annoy the hell out of me yesterday. i think i needed proof they actually existed.","meadows: met,2D,Art2or3,painting,Artwork","Painting"
