"Category","File Name","Job Identifier","Title","Creator","Description","Keywords","Artwork_Type"
"SET 42","2469410326.jpg","-","Justice League","p.d.a.","<a href=http://www.metmuseum.org/special/superheroes/index.asp>www.metmuseum.org/special/superheroes/index.asp</a>;","p.d.a.: nyc,3D,Art2or3,sculpture,Artwork","Sculpture"
"SET 42","2364987307.jpg","06.1335.1ad","Bedroom from the Sagredo Palace","hills,","camera: lubitel 2;film: kodak e100vs;;Bedroom from the Sagredo Palace, Venice, Period Room, 18th century (ca. 1718);Stuccowork probably by Abbondio Stazio of Massagno (16751745), and Carpoforo Mazzetti (ca. 16841748), probably after a model by Gasparo Diziani of Belluno (16891767).;Made in Venice, Italy;Wood, stucco, marble, glass; H. 25 ft. 2 in. (767.1 cm), W. 18 ft. 2 in. (553.7 cm), D. 13 ft. 2 in. (401.3 cm);The Metropolitan Museum of Art, New York, NY, Rogers Fund, 1906 (06.1335.1ad).","'hills,: lubitel2,hills,: themetropolitanmuseumofart,hills,: newyork,hills,: e100vs,hills,: tlr,hills,: kodak,hills,: bedroomfromthesagredopalace,hills,: stuccowork,hills,: 6x6,hills,: filmisnotdeadsubmission,hills,: europeansculpturedecorativearts,hills,: metropolitanmuseum,',Description,AccessionInDesc,3D,Art2or3,period_room,Artwork","Period_Room"
"SET 42","2364991369.jpg","-","wrightsman02","hills,","camera: lubitel 2;film: kodak e100vs;;the wrightsman galleries at the metropolitan museum of art in new york, ny.","'hills,: lubitel2,hills,: themetropolitanmuseumofart,hills,: newyork,hills,: thewrightsmangalleries,hills,: e100vs,hills,: tlr,hills,: kodak,hills,: 6x6,hills,: slowlove,hills,: europeansculpturedecorativearts,hills,: metropolitanmuseum,',Description,3D,Art2or3,DeptSpaces,period_room,Artwork","Period_Room"
"SET 42","2824568115.jpg","-","MMA 08/30/08","cjn212","NA","cjn212: grotto,cjn212: 083008,cjn212: mma,cjn212: bright,Hellenophile: antiquity,cjn212: metmoment,Inhabited,sculpture,Artwork,3D,Art2or3","Sculpture"
"SET 42","2825400772.jpg","-","MMA 08/30/08","cjn212","NA","cjn212: grotto,cjn212: 083008,cjn212: mma,cjn212: bright,cjn212: metmoment,3D,Art2or3,Inhabited,painting,Artwork","Painting"
"SET 42","2825401026.jpg","-","MMA 08/30/08","cjn212","NA","cjn212: grotto,cjn212: 083008,cjn212: mma,cjn212: bright,cjn212: metmoment,3D,Art2or3,Inhabited,sculpture,Artwork","Sculpture"
"SET 42","2825401948.jpg","-","MMA 08/30/08","cjn212","NA","cjn212: grotto,cjn212: 083008,cjn212: mma,cjn212: bright,cjn212: metmoment,cjn212: cjnye,cjn212: cjnyecom,cjn212: carolinenye,cjn212: carolinejnye,cjn212: womanartist,cjn212: art,cjn212: artist,cjn212: ny,cjn212: nyc,cjn212: newyork,cjn212: emerging,cjn212: painting,cjn212: painter,cjn212: museum,cjn212: museums,cjn212: gallery,cjn212: galleries,cjn212: grotto212,cjn212: workonpaper,cjn212: oilpainting,cjn212: oilpaintings,cjn212: diptych,cjn212: modular,3D,Art2or3,Inhabited,sculpture,Artwork","Sculpture"
"SET 42","2825403076.jpg","-","MMA 08/30/08","cjn212","NA","cjn212: grotto,cjn212: 083008,cjn212: mma,Hellenophile: antiquity,cjn212: metmoment,Inhabited,sculpture,Artwork,3D,Art2or3","Sculpture"
