"Category","File Name","Job Identifier","Title","Creator","Description","Keywords","Artwork_Type"
"SET 17","5600567749.jpg","-","NYC: MetMuseum - capolavori","agennari","(10 marzo 2011) Loro3 tra opere di El Greco e di Rembrandt","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,Art2o3,2D,Inhabited,Artwork,painting,3D","Painting"
"SET 17","5619440843.jpg","-","NYC: MetMuseum - DA FARE","agennari","(14 marzo 2011)","agennari: newyork,agennari: metropoitanmuseum,agennari: metmuseum,2D,Art2o3,3D,Inhabited,Artwork,painting_and_sculpture","Sculpture"
"SET 17","5619391423.jpg","-","NYC: MetMuseum - Ballerina 14enne","agennari","(14 marzo 2011) Questa scultura e opera del francese Edgar Degas, cosi come i 2 quadri dietro","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: degas,Art2o3,2D,3D,Artwork,painting_and_sculpture","Sculpture"
"SET 17","5723539775.jpg","-","The Metropolitan Museum of Art","Alex E. Pajares","NA","NA,3D,Art2o3,2D,Inhabited,Artwork,painting_and_sculpture","Sculpture"
"SET 17","2442934885.jpg","1975.1.186","Princesse de Broglie by Ingres in the Metropolitan Museum of Art, January 2008","ElissaSCA","Princesse de Broglie, 185153;Jean-Auguste-Dominique Ingres (French, 17801867);Oil on canvas; 47 3/4 x 35 3/4 in. (121.3 x 90.8 cm);Robert Lehman Collection, 1975 (1975.1.186);;Although portraiture was a genre he came to dislike, Ingres depicted many of the leading personalities of his day. This painting of Josephine Eleonore Marie Pauline de Galard de Brassacede Bearn, princesse de Broglie, is his last commissioned portrait of a female sitter. A member of the most cultivated circles of the Second Empire, the princess was renowned for her great beauty as well as her reserve, both qualities captured in this portrait. Ingres' facility for brilliantly transcribing the material quality of objects is seen in the rich satin and lace of the sitter's gown, the silk damask upholstery, and the richly embroidered evening scarf draped across the chair. Also rendered in exquisite detail are her sumptuous jewels, which include the fashionable antique-inspired pendant around her neck.;;The princesse de Broglie died of consumption at the age of thirty-five. Her bereaved husband kept this portrait behind draperies in perpetual tribute to her memory. It remained in the family until shortly before it was acquired by Robert Lehman and retains the original, ornately carved frame that Ingres himself selected.;;Text from: <a href=http://www.metmuseum.org/TOAH/ho/10/euwf/ho_1975.1.186.htm>www.metmuseum.org/TOAH/ho/10/euwf/ho_1975.1.186.htm</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2008,ElissaSCA: painting,ElissaSCA: ingres,ElissaSCA: 19thcentury,ElissaSCA: portrait,ElissaSCA: fujifinepixs6000fd,ElissaSCA: french,Art2o3,2D,painting,Artwork","Painting"
"SET 17","4564131222.jpg","01.21","Detail of Florinda by Winterhalter in the Metropolitan Museum of Art, December 2008","ElissaSCA","Florinda, 1853;Franz Xaver Winterhalter (German, 18051873);Oil on canvas ;70 1/4 x 96 3/4 in. (178.4 x 245.7 cm);Signed (lower right): Fx. Winterhalter;Bequest of William H. Webb, 1899 (01.21);;This painting depicts an episode from the legend of Roderick, the last king of the Spanish Visigoths. After spying on his maids of honor to determine the fairest among them, the king chose Florinda (at center left), who became the object of his love. In revenge, Florinda's father called the Arabs into Spain and brought about the conquest. This painting, which was shown at the Salon of 1853, is a replica of a version of the same size given by Queen Victoria to Prince Albert in 1852.;;Winterhalter used a similar composition for Empress Eugenie Surrounded by Her Ladies-in-Waiting (1855; Musee National du Chateau, Compiegne).;;Text from: <a href=http://www.metmuseum.org/toah/works-of-art/01.21 rel=nofollow>www.metmuseum.org/toah/works-of-art/01.21</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: painting,ElissaSCA: 19thcentury,ElissaSCA: winterhalter,ElissaSCA: 2008,ElissaSCA: fujifinepixs6000fd,Art2o3,2D,painting,Artwork","Painting"
"SET 17","4564131226.jpg","01.21","Detail of Florinda by Winterhalter in the Metropolitan Museum of Art, May 2009","ElissaSCA","Florinda, 1853;Franz Xaver Winterhalter (German, 18051873);Oil on canvas ;70 1/4 x 96 3/4 in. (178.4 x 245.7 cm);Signed (lower right): Fx. Winterhalter;Bequest of William H. Webb, 1899 (01.21);;This painting depicts an episode from the legend of Roderick, the last king of the Spanish Visigoths. After spying on his maids of honor to determine the fairest among them, the king chose Florinda (at center left), who became the object of his love. In revenge, Florinda's father called the Arabs into Spain and brought about the conquest. This painting, which was shown at the Salon of 1853, is a replica of a version of the same size given by Queen Victoria to Prince Albert in 1852.;;Winterhalter used a similar composition for Empress Eugenie Surrounded by Her Ladies-in-Waiting (1855; Musee National du Chateau, Compiegne).;;Text from: <a href=http://www.metmuseum.org/toah/works-of-art/01.21 rel=nofollow>www.metmuseum.org/toah/works-of-art/01.21</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: painting,ElissaSCA: 19thcentury,ElissaSCA: winterhalter,ElissaSCA: 2009,ElissaSCA: fujifinepixs6000fd,Art2o3,2D,painting,Artwork","Painting"
"SET 17","4564131240.jpg","01.21","Detail of Florinda by Winterhalter in the Metropolitan Museum of Art, May 2009","ElissaSCA","Florinda, 1853;Franz Xaver Winterhalter (German, 18051873);Oil on canvas ;70 1/4 x 96 3/4 in. (178.4 x 245.7 cm);Signed (lower right): Fx. Winterhalter;Bequest of William H. Webb, 1899 (01.21);;This painting depicts an episode from the legend of Roderick, the last king of the Spanish Visigoths. After spying on his maids of honor to determine the fairest among them, the king chose Florinda (at center left), who became the object of his love. In revenge, Florinda's father called the Arabs into Spain and brought about the conquest. This painting, which was shown at the Salon of 1853, is a replica of a version of the same size given by Queen Victoria to Prince Albert in 1852.;;Winterhalter used a similar composition for Empress Eugenie Surrounded by Her Ladies-in-Waiting (1855; Musee National du Chateau, Compiegne).;;Text from: <a href=http://www.metmuseum.org/toah/works-of-art/01.21 rel=nofollow>www.metmuseum.org/toah/works-of-art/01.21</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: painting,ElissaSCA: 19thcentury,ElissaSCA: winterhalter,ElissaSCA: 2009,ElissaSCA: fujifinepixs6000fd,Art2o3,2D,painting,Artwork","Painting"
"SET 17","4579866564.jpg","1975.1.185","Aretino in the Studio of Tintoretto by Ingres in the Metropolitan Museum of Art, February 2010","ElissaSCA","Jean-Auguste-Dominique Ingres. ;French 1780-1867 ;;Aretino in the Studio of Tintoretto, 1848;;From the Robert Lehman Collection, Accession # 1975.1.185;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: painting,ElissaSCA: ingres,ElissaSCA: french,ElissaSCA: 19thcentury,ElissaSCA: fujifinepixs6000fd,Art2o3,2D,AccessionInDesc,Description,painting,Artwork","Painting"
"SET 17","5587083251.jpg","-","NA","ChelseaRising","NA","ChelseaRising: chelsearising,ChelseaRising: usa,ChelseaRising: unitedstatesofamerica,ChelseaRising: nikon,ChelseaRising: lensbaby,ChelseaRising: metropolitanmuseumofart,ChelseaRising: met,ChelseaRising: nyc,ChelseaRising: newyorkcity,ChelseaRising: uptown,ChelseaRising: art,ChelseaRising: portrait,ChelseaRising: getcloser,ChelseaRising: photo,ChelseaRising: contest,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5587677946.jpg","-","NA","ChelseaRising","NA","ChelseaRising: chelsearising,ChelseaRising: usa,ChelseaRising: unitedstatesofamerica,ChelseaRising: nikon,ChelseaRising: lensbaby,ChelseaRising: metropolitanmuseumofart,ChelseaRising: met,ChelseaRising: nyc,ChelseaRising: newyorkcity,ChelseaRising: uptown,ChelseaRising: art,ChelseaRising: portrait,ChelseaRising: getcloser,ChelseaRising: photo,ChelseaRising: contest,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5600563085.jpg","-","NYC: MetMuseum - Madame Roulin","agennari","(10 marzo 2011) &quot;Madame Roulin e il suo bambino&quot; di Vincent Van Gogh. Uno dei pezzi MENO forti della Robert Lehman Collection","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: vangogh,agennari: roulin,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5600565597.jpg","-","NYC: MetMuseum - Princesse de Broglie","agennari","(10 marzo 2011) Il NON certo notissimo Jean-Auguste-Dominique Ingres ha dato vita a questo capolavoro assoluto. &quot;Josephine-Eleonore-Marie-Pauline de Galard de Brassac de Bearn&quot;","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: broglie,agennari: ingres,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5600568709.jpg","-","NYC: MetMuseum - Botticelli","agennari","(10 marzo 2011) &quot;L'annunciazione&quot; (1485 circa) di Botticelli","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5600571347.jpg","-","NYC: MetMuseum - Robert Lehman Collection","agennari","(10 marzo 2011) Da una finestra, 4 dei tantissimi capolavori della Lehamn Collection","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: lehman,Art2o3,2D,Inhabited,painting,Artwork","Painting"
"SET 17","5601147950.jpg","-","NYC: MetMuseum - tahitiane","agennari","(10 marzo 2011) &quot;Tahitian Women Bathing&quot; e il titolo di questo quadro di Paul Gauguin","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: gauguin,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5603065101.jpg","-","NYC: MetMuseum - Vermeer ritrattista","agennari","(11 marzo 2011) &quot;Ritratto di fanciulla&quot; by Jan Vermeer. Qualcuno l'ha paragonata alla Gioconda di Leonardo","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: vermeer,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5603070253.jpg","-","NYC: MetMuseum - Rembrandt 3","agennari","(11 marzo 2011) Aristotele poggia la sua mano sulla testa di Chiara","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: rembrandt,Art2o3,2D,Inhabited,painting,Artwork","Painting"
"SET 17","5603644114.jpg","-","NYC: MetMuseum - Duccio","agennari","(11 marzo 2011) La &quot;Madonna col bambino&quot; di Duccio di Buoninsegna. Il Met l'ha strapagata, ma pare che ci sia a lot of people che viene qui solo per vederla","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: duccio,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5603648046.jpg","-","NYC: MetMuseum - Vermeer con brocca","agennari","(11 marzo 2011) &quot;Fanciulla con una brocca&quot; by Jan Vermeer. Un capolavoro indiscusso del maestro olandese","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: vermeer,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5603650964.jpg","-","NYC: MetMuseum - Rembrandt 1","agennari","(11 marzo 2011) &quot;Aristotele con il busto di Omero&quot; di Rembrandt. Un'opera molto grande (143cm x 137cm). Molto intensa.","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: rembrandt,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5603656656.jpg","-","NYC: MetMuseum - Rembrandt 5","agennari","(11 marzo 2011) L'attenzione di Francesco nel seguire la spiegazione della sua guida e incredibile!","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: rembrandt,Art2o3,2D,Inhabited,painting,Artwork","Painting"
"SET 17","5619388779.jpg","-","NYC: MetMuseum - In barca con Manet","agennari","(14 marzo 2011) Uno dei masterpiece di Edouard Manet. &quot;Boating&quot; realizzato nel 1874","agennari: newyork,agennari: metropolitanmuseum,agennari: metmuseum,agennari: manet,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5619416413.jpg","-","NYC: MetMuseum - nel prato di Renoir","agennari","(14 marzo 2011) Uno dei capolavori piu noti del pittore Auguste Renoir. A me questo quadro INCANTA.","agennari: newyork,agennari: metropoitanmuseum,agennari: renoir,agennari: metmuseum,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5619436849.jpg","-","NYC: MetMuseum - La firma di Monet","agennari","(14 marzo 2011) Zoom sull'autografo di Claude Monet (uno degli artisti piu presenti all'interno del MetMuseum)","agennari: newyork,agennari: metropoitanmuseum,agennari: monet,agennari: metmuseum,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5619441531.jpg","-","NYC: MetMuseum - scarpe","agennari","(14 marzo 2011) Opera del 1888. By VVG","agennari: newyork,agennari: metropoitanmuseum,agennari: vangogh,agennari: metmuseum,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5619443459.jpg","-","NYC: MetMuseum - rose","agennari","(14 marzo 2011) Semplice opera del 1890. Rose bianche come il tavolo. Vaso verde come lo sfondo.","agennari: newyork,agennari: vangogh,agennari: metropoitanmuseum,agennari: metmuseum,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5619447283.jpg","-","NYC: MetMuseum - Iris","agennari","(14 marzo 2011) Ottimo esempio impressionista di una natura morta secondo Van Gogh","agennari: newyork,agennari: vangogh,agennari: metropoitanmuseum,agennari: metmuseum,Art2o3,2D,painting,Artwork","Painting"
"SET 17","5619448929.jpg","-","NYC: MetMuseum - l'Arlesiana","agennari","(14 marzo 2011) Madame Ginoux (l'Arlesiana). Opera luminosissima del 1889 di Van Gogh","agennari: newyork,agennari: metropoitanmuseum,agennari: vangogh,agennari: metmuseum,Art2o3,2D,painting,Artwork","Painting"
